operationId,method,path,tag,kind
getSdarNodeDeclaration,GET,/.well-known/sdar-node,Discovery,query
getNodeControlLiveness,GET,/health/live,Discovery,query
getNodeControlReadiness,GET,/health/ready,Discovery,query
getNodeProfile,GET,/api/v1/node,Node,query
updateNodeProfileDraft,PUT,/api/v1/node/draft,Node,command
validateNodeProfileDraft,POST,/api/v1/node/draft/validate,Node,command
publishNodeProfileDraft,POST,/api/v1/node/draft/publish,Node,command
getNodeHealth,GET,/api/v1/node/health,Node,query
listConfigurationRevisions,GET,/api/v1/configuration-revisions,Configuration,query
createConfigurationRevision,POST,/api/v1/configuration-revisions,Configuration,command
getConfigurationRevision,GET,/api/v1/configuration-revisions/{configurationId}/{revision},Configuration,query
validateConfigurationRevision,POST,/api/v1/configuration-revisions/{configurationId}/{revision}/validate,Configuration,command
publishConfigurationRevision,POST,/api/v1/configuration-revisions/{configurationId}/{revision}/publish,Configuration,command
rollbackConfigurationRevision,POST,/api/v1/configuration-revisions/{configurationId}/{revision}/rollback,Configuration,command
listLlmProviders,GET,/api/v1/llm-providers,LLM,query
createLlmProviderDraft,POST,/api/v1/llm-providers,LLM,command
getLlmProvider,GET,/api/v1/llm-providers/{providerId},LLM,query
validateLlmProvider,POST,/api/v1/llm-providers/{providerId}/validate,LLM,command
listModelRoutes,GET,/api/v1/model-routes,LLM,query
createModelRouteDraft,POST,/api/v1/model-routes,LLM,command
getModelRoute,GET,/api/v1/model-routes/{routeId},LLM,query
listSmppSources,GET,/api/v1/smpp-sources,SMPP,query
createSmppSourceDraft,POST,/api/v1/smpp-sources,SMPP,command
getSmppSource,GET,/api/v1/smpp-sources/{smppSourceId},SMPP,query
syncSmppSource,POST,/api/v1/smpp-sources/{smppSourceId}/sync,SMPP,command
listMcpProviderCandidates,GET,/api/v1/mcp-provider-candidates,MCP,query
listMcpProviderBindings,GET,/api/v1/mcp-provider-bindings,MCP,query
importMcpProviderBinding,POST,/api/v1/mcp-provider-bindings,MCP,command
getMcpProviderBinding,GET,/api/v1/mcp-provider-bindings/{bindingId},MCP,query
refreshMcpProviderBinding,POST,/api/v1/mcp-provider-bindings/{bindingId}/refresh,MCP,command
suspendMcpProviderBinding,POST,/api/v1/mcp-provider-bindings/{bindingId}/suspend,MCP,command
removeMcpProviderBinding,POST,/api/v1/mcp-provider-bindings/{bindingId}/remove,MCP,command
listSkills,GET,/api/v1/skills,Skills,query
importSkillPackage,POST,/api/v1/skills/import,Skills,command
listSkillVersions,GET,/api/v1/skills/{skillId}/versions,Skills,query
getSkillVersion,GET,/api/v1/skills/{skillId}/versions/{version},Skills,query
publishSkillVersion,POST,/api/v1/skills/{skillId}/versions/{version}/publish,Skills,command
suspendSkillVersion,POST,/api/v1/skills/{skillId}/versions/{version}/suspend,Skills,command
deprecateSkillVersion,POST,/api/v1/skills/{skillId}/versions/{version}/deprecate,Skills,command
listPlanTemplates,GET,/api/v1/plan-templates,PlanTemplates,query
listPlanTemplateVersions,GET,/api/v1/plan-templates/{artifactId}/versions,PlanTemplates,query
getPlanTemplateVersion,GET,/api/v1/plan-templates/{artifactId}/versions/{version},PlanTemplates,query
publishPlanTemplateVersion,POST,/api/v1/plan-templates/{artifactId}/versions/{version}/publish,PlanTemplates,command
revalidatePlanTemplateVersion,POST,/api/v1/plan-templates/{artifactId}/versions/{version}/revalidate,PlanTemplates,command
suspendPlanTemplateVersion,POST,/api/v1/plan-templates/{artifactId}/versions/{version}/suspend,PlanTemplates,command
listNodeCapabilities,GET,/api/v1/node-capabilities,Capabilities,query
createNodeCapabilityDraft,POST,/api/v1/node-capabilities,Capabilities,command
getNodeCapabilityVersion,GET,/api/v1/node-capabilities/{capabilityId}/versions/{version},Capabilities,query
validateNodeCapabilityVersion,POST,/api/v1/node-capabilities/{capabilityId}/versions/{version}/validate,Capabilities,command
publishNodeCapabilityVersion,POST,/api/v1/node-capabilities/{capabilityId}/versions/{version}/publish,Capabilities,command
suspendNodeCapabilityVersion,POST,/api/v1/node-capabilities/{capabilityId}/versions/{version}/suspend,Capabilities,command
deprecateNodeCapabilityVersion,POST,/api/v1/node-capabilities/{capabilityId}/versions/{version}/deprecate,Capabilities,command
retireNodeCapabilityVersion,POST,/api/v1/node-capabilities/{capabilityId}/versions/{version}/retire,Capabilities,command
listCapabilityImplementations,GET,/api/v1/node-capabilities/{capabilityId}/versions/{version}/implementations,Capabilities,query
createCapabilityImplementation,POST,/api/v1/node-capabilities/{capabilityId}/versions/{version}/implementations,Capabilities,command
listCapabilityReadiness,GET,/api/v1/capability-readiness,Capabilities,query
getCapabilityReadiness,GET,/api/v1/capability-readiness/{capabilityId}/{version},Capabilities,query
