role,a2a.manage,a2a.read,artifact.manage,artifact.read,audit.read,capability.manage,capability.read,configuration.manage,events.read,llm.manage,mcp.manage,node.read,node.write,operation.read,skill.manage,skill.read,smpp.manage,task.control,task.read,evidence_export.manage,evidence_export.read,evidence_export.recover
node_admin,allow,,allow,,allow,allow,,allow,allow,allow,allow,allow,allow,allow,allow,,allow,allow,allow,allow,allow,allow
configuration_operator,,,,,,,,allow,,allow,,allow,,allow,,,,,,allow,,
provider_operator,,,,,,,,,,,allow,allow,,allow,,allow,allow,,,,,
capability_operator,allow,,,allow,,allow,,,,,,allow,,allow,,allow,,,allow,,,
task_operator,,,,,,,,,,,,allow,,allow,,,,allow,allow,,,
auditor,,,,,allow,,,,allow,,,allow,,allow,,,,,allow,,,
federation_reader,,allow,,,,,allow,,allow,,,allow,,allow,,,,,allow,,,
node_operator,,,,,allow,,,,,,,,,,,,,,,,allow,
node_viewer,,,,,,,,,,,,,,,,,,,,,allow,
security_admin,,,,,allow,,,,,,,,,,,,,,,,allow,allow
organization_service,,,,,,,,,,,,,,,,,,,,,,
